GeneSymbol	style	Degree
JPH3	mRNA	29
LTF	mRNA	29
STK32C	mRNA	29
NPDC1	mRNA	27
NM_018951	mRNA	25
CDK5RAP3	mRNA	24
CLDN4	mRNA	24
KIF26A	mRNA	24
AQP1	mRNA	23
CDX1	mRNA	23
NM_024016	mRNA	23
PIGR	mRNA	23
RAMP1	mRNA	23
CLDN3	mRNA	22
JUND	mRNA	22
TOMM20	mRNA	22
ABHD12	mRNA	21
APOD	mRNA	20
CPT1A	mRNA	19
H1F0	mRNA	19
S100A7	mRNA	19
UQCRFS1	mRNA	19
EPHB2	mRNA	18
FAM110C	mRNA	18
NM_002146	mRNA	18
OLFM4	mRNA	18
LCN2	mRNA	17
CIB2	mRNA	16
HSPA1A	mRNA	16
PRR15L	mRNA	16
RPL22	mRNA	16
SYT7	mRNA	16
FAM128A	mRNA	15
GDF15	mRNA	15
SMPD3	mRNA	15
DOLK	mRNA	14
HIST1H3F	mRNA	14
INSIG1	mRNA	14
SAA1	mRNA	14
CSTF3	mRNA	13
HIST1H4E	mRNA	13
PEBP1	mRNA	13
CD24	mRNA	12
DNAJB1	mRNA	12
ESPNL	mRNA	12
GGT7	mRNA	12
HIST1H2BC	mRNA	12
INPP5D	mRNA	12
PIGT	mRNA	12
SAA2	mRNA	12
TOX4	mRNA	12
AEN	mRNA	11
BATF2	mRNA	11
CARD10	mRNA	11
ERGIC1	mRNA	11
ESRRA	mRNA	11
FOS	mRNA	11
PRSS2	mRNA	11
RNF183	mRNA	11
SLC9A3R1	mRNA	11
YWHAQ	mRNA	11
C20orf108	mRNA	10
CCL20	mRNA	10
COBRA1	mRNA	10
EFHD2	mRNA	10
H2AFX	mRNA	10
HIST1H2AJ	mRNA	10
MUC13	mRNA	10
TOB2	mRNA	10
B3GNT2	mRNA	9
CIB1	mRNA	9
COX8A	mRNA	9
CREM	mRNA	9
CTGF	mRNA	9
EIF1	mRNA	9
MARCKSL1	mRNA	9
NM_018952	mRNA	9
TMED9	mRNA	9
C10orf35	mRNA	8
C7orf41	mRNA	8
CCDC64	mRNA	8
HIST1H2AG	mRNA	8
HIST2H2AC	mRNA	8
ODC1	mRNA	8
PITX1	mRNA	8
ROBO4	mRNA	8
SPIN4	mRNA	8
YWHAG	mRNA	8
ANKRD43	mRNA	7
CD164	mRNA	7
CDK2AP2	mRNA	7
CUX1	mRNA	7
FAM108C1	mRNA	7
HIST1H2BI	mRNA	7
HIST2H2AB	mRNA	7
HIST2H3A	mRNA	7
HIST3H2BB	mRNA	7
LAMP2	mRNA	7
LOC200030	mRNA	7
MFAP4	mRNA	7
RPL15	mRNA	7
RPS6	mRNA	7
SPINK1	mRNA	7
STK25	mRNA	7
CDK10	mRNA	6
DMBT1	mRNA	6
FUT4	mRNA	6
GADD45G	mRNA	6
HNRNPK	mRNA	6
HOXB13	mRNA	6
KCNMA1	mRNA	6
MAP2K4	mRNA	6
MLLT1	mRNA	6
NDUFA5	mRNA	6
PDCD6	mRNA	6
PPIAL4G	mRNA	6
PTTG1	mRNA	6
REG3A	mRNA	6
RPL39	mRNA	6
SESN2	mRNA	6
SFRS14	mRNA	6
SLC39A1	mRNA	6
ASCL2	mRNA	5
CBX7	mRNA	5
COL6A2	mRNA	5
HIST1H2BE	mRNA	5
HOXB8	mRNA	5
KRTCAP2	mRNA	5
PABPC1L	mRNA	5
PRR15	mRNA	5
RIC8A	mRNA	5
SAC3D1	mRNA	5
SMS	mRNA	5
THUMPD1	mRNA	5
TOB1	mRNA	5
VGF	mRNA	5
ACADS	mRNA	4
C20orf112	mRNA	4
C2CD2L	mRNA	4
CBX4	mRNA	4
CCDC56	mRNA	4
