ProbeName	P-value	Absolute Fold change([T] vs [N])	Regulation([T] vs [N])	type	seqname	GeneSymbol	source	RNAlength	chrom	strand
ASHG19A3A026653	3.77172E-07	2.340382064	up	noncoding	ENST00000440440	BRI3P1	Ensembl	378	chr1	+
ASHG19A3A046989	1.08901E-06	8.865422127	up	noncoding	uc001pqf.2	PAFAH1B2	UCSC_knowngene	2506	chr11	+
ASHG19A3A038476	9.24985E-07	3.202828717	up	noncoding	ENST00000452496	ASS1P12	Ensembl	1227	chr9	+
ASHG19A3A022140	6.3777E-08	13.16834408	up	noncoding	uc003fwf.1	AF088041	UCSC_knowngene	3546	chr3	-
ASHG19A3A038583	6.56383E-10	7.431657598	up	noncoding	ENST00000432323	RP11-576D8.1	Ensembl	225	chr1	+
ASHG19A3A052934	2.46265E-08	3.952196925	up	noncoding	ENST00000465295	RP11-30K9.1	Ensembl	476	chr15	+
ASHG19A3H0000081	3.21809E-06	3.180387746	up	noncoding	nc-HOXA1-53-	nc-HOXA1-53	HOX cluster	138	chr7	-
ASHG19A3A045357	2.74693E-05	3.400797492	up	noncoding	uc001ody.2	AF113016	UCSC_knowngene	4135	chr11	-
ASHG19A3A039706	2.15727E-09	3.995007782	up	noncoding	ENST00000416765	RP1-22N22.1	Ensembl	405	chrX	-
ASHG19A3A010323	2.20297E-09	2.025837938	up	noncoding	ENST00000462935	RP11-9H16.1	Ensembl	626	chr18	-
ASHG19A3A046591	6.42717E-11	4.590997861	up	noncoding	uc010rog.1	NEAT1	UCSC_knowngene	17357	chr11	+
ASHG19A3A029791	4.15691E-09	4.689292874	up	noncoding	ENST00000374520	RPL12P1	Ensembl	498	chr6	-
ASHG19A3A016340	0.000549791	2.8051359	up	noncoding	ENST00000448112	AC068137.3	Ensembl	561	chr2	+
ASHG19A3A024370	7.97997E-09	4.908588636	up	noncoding	ENST00000510190	RP11-123J14.2	Ensembl	310	chr4	-
ASHG19A3A016989	9.42318E-09	4.180900086	up	noncoding	ENST00000456160	AC009974.11	Ensembl	467	chr2	+
ASHG19A3A054475	8.92341E-08	3.275532266	up	noncoding	uc002dxm.2	LOC23117	UCSC_knowngene	1138	chr16	+
ASHG19A3H0000205	0.000873399	2.527366695	up	noncoding	nc-HOXC10-129-	nc-HOXC10-129	HOX cluster	260	chr12	+
ASHG19A3A011559	4.99822E-07	2.777572508	up	noncoding	ENST00000436287	ACTBP11	Ensembl	1126	chr1	-
ASHG19A3A010177	2.18165E-08	3.737991754	up	noncoding	ENST00000494882	RP11-681N23.1	Ensembl	321	chr18	-
ASHG19A3A020726	0.001619168	2.08979725	up	noncoding	ENST00000396959	KRT18P17	Ensembl	1279	chr3	-
ASHG19A3A013898	5.20466E-06	4.223885831	up	noncoding	uc002snv.3	BC024248	UCSC_knowngene	1179	chr2	-
ASHG19A3A016173	3.45429E-07	2.737339835	up	noncoding	ENST00000401483	AC114776.1	Ensembl	387	chr2	+
ASHG19A3A018801	3.19533E-10	3.452409205	up	noncoding	ENST00000444036	AP000281.1	Ensembl	316	chr21	-
ASHG19A3A028120	1.22476E-07	2.330303127	up	noncoding	ENST00000477670	CTD-2284O10.1	Ensembl	797	chr5	+
ASHG19A3A024870	1.97418E-10	4.973893785	up	noncoding	NR_001562	ANXA2P1	RefSeq_NR	1343	chr4	-
ASHG19A3A029342	6.78136E-09	2.428012642	up	noncoding	uc001ejz.1	AF379632	UCSC_knowngene	969	chr1	+
ASHG19A3A024191	1.37826E-05	2.106856732	up	noncoding	ENST00000484463	RP11-463H12.1	Ensembl	214	chr4	-
CUST_471_PI426073487	0.000241446	2.06335097	up	noncoding	uc.473+	uc.473	UCR	222	chrX	+
ASHG19A3A011204	4.36737E-06	2.144315852	up	noncoding	ENST00000469924	CTD-3131K8.1	Ensembl	477	chr19	-
ASHG19A3A051898	1.28821E-09	2.952799367	up	noncoding	ENST00000460876	RP11-2F9.1	Ensembl	624	chr15	-
ASHG19A3A027379	8.70553E-10	3.587516665	up	noncoding	NR_003023	SCARNA2	RefSeq_NR	420	chr1	+
ASHG19A3A022416	1.11027E-10	3.522491601	up	noncoding	ENST00000396544	AC104306.1	Ensembl	369	chr3	+
ASHG19A3A009606	5.21437E-07	4.226731024	up	noncoding	ENST00000514828	AC091132.1	Ensembl	429	chr17	+
ASHG19A3A051349	5.49475E-09	3.63717629	up	noncoding	ENST00000480072	RP11-829H16.1	Ensembl	201	chr14	+
ASHG19A3L0001450	2.81885E-07	3.368781676	up	noncoding	chr4:114709776-114720551-	lincRNA-CAMK2D	lincRNA	10776	chr4	-
ASHG19A3A053500	2.25407E-05	2.498426725	up	noncoding	ENST00000463867	CTD-2135D7.1	Ensembl	348	chr16	-
ASHG19A3A053282	1.49568E-12	3.468662163	up	noncoding	ENST00000465747	RP11-522B15.1	Ensembl	340	chr15	+
ASHG19A3A030207	2.05488E-05	2.376913991	up	noncoding	ENST00000454172	RP1-90L14.1	Ensembl	411	chr6	-
ASHG19A3A018332	7.8531E-13	4.457093606	up	noncoding	ENST00000464473	PPIAL	Ensembl	501	chr20	+
ASHG19A3A038356	0.000112897	2.415982124	up	noncoding	ENST00000391389	RP11-134K1.2	Ensembl	531	chr9	+
ASHG19A3A014042	5.99722E-06	2.66197117	up	noncoding	uc002sva.1	DKFZp667P0924	UCSC_knowngene	2442	chr2	-
ASHG19A3A041225	6.1177E-08	2.451018602	up	noncoding	ENST00000438336	RP11-475D8.3	Ensembl	660	chrX	+
ASHG19A3A029157	6.39505E-12	2.896937046	up	noncoding	NR_002988	SNORA74B	RefSeq_NR	204	chr5	+
ASHG19A3A018261	1.12001E-08	8.410590922	up	noncoding	ENST00000432310	RPL37P1	Ensembl	284	chr20	+
ASHG19A3A022617	0.00017234	2.161706752	up	noncoding	ENST00000450668	RP11-159C21.3	Ensembl	321	chr1	+
ASHG19A3A024199	1.4032E-06	4.745323952	up	noncoding	uc003hay.2	AK096319	UCSC_knowngene	3518	chr4	-
ASHG19A3A011831	2.17004E-07	2.131881478	up	noncoding	ENST00000506567	AC010492.4	Ensembl	219	chr19	-
ASHG19A3A045075	1.02768E-07	3.216568442	up	noncoding	ENST00000478433	RP5-916O11.1	Ensembl	450	chr11	-
ASHG19A3A015707	0.01251647	2.025238591	up	noncoding	ENST00000414975	RP11-681L4.1	Ensembl	361	chr2	+
ASHG19A3A020755	0.001203386	2.613536112	up	noncoding	uc003bze.1	CR623576	UCSC_knowngene	1632	chr3	-
ASHG19A3A048240	0.000135345	2.233569717	up	noncoding	ENST00000468701	RP11-476M19.1	Ensembl	347	chr12	+
ASHG19A3A044517	8.06835E-06	3.260158562	up	noncoding	uc001laz.2	AK000154	UCSC_knowngene	5435	chr10	+
ASHG19A3A011217	3.149E-08	2.00303469	up	noncoding	ENST00000467018	CTC-251H24.1	Ensembl	154	chr19	-
ASHG19A3A009102	9.2852E-11	2.570478051	up	noncoding	ENST00000479856	RP11-713H12.1	Ensembl	347	chr17	+
ASHG19A3A011200	1.37817E-05	3.277024109	up	noncoding	uc002ngr.2	BC039402	UCSC_knowngene	624	chr19	-
ASHG19A3A041119	1.48066E-11	3.728886625	up	noncoding	ENST00000422565	RP13-470G3.1	Ensembl	375	chrX	+
